structure_id,oxidised_smiles,reduced_smiles,core_structure_smiles,Position,R_group_substituent,Redox_Potential(V),class,sub_class,deltaG_redox_solv_kjmol,deltaG_solv_oxidised_kJmol,G_rxn_gas_kJmol,gibbs_correction_kjmol,SPE_final_energy_kJmol,corrected_SPE_energy_kJmol,alpha_HOMO_eV,alpha_LUMO_eV,n_electrons_transferred,charge,spin_multiplicity,functional,basis_set
1,O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1,O=C1NC(=O)C2=C(N1)NC1=CC=CC=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,Original,None,0.184281189,Alloxazine,Alloxazine,-861.472341,-74.05428064,-3069.742477,0.120743,-753.9616017,-753.8408587,-0.30736,-0.07972,2,0,1,M062X,"6-31++G(d,p)"
2,O=c1[nH]c2nc3ccccc3nc2c(=O)n1Cl,O=C1NC2=C(NC3=CC=CC=C3N2)C(=O)N1Cl,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,2,Cl,0.197850086,Alloxazine,Alloxazine,-864.0907312,-63.76554475,-3070.514374,0.1078,-1213.467048,-1213.359248,-0.31146,-0.08419,2,0,1,M062X,"6-31++G(d,p)"
3,O=c1[nH]c(=O)n(Cl)c2nc3ccccc3nc12,O=C1NC(=O)N(Cl)C2=C1NC1=CC=CC=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,14,Cl,0.150804288,Alloxazine,Alloxazine,-855.0123035,-63.41651079,-3078.574659,0.107872,-1213.465559,-1213.357687,-0.30905,-0.0832,2,0,1,M062X,"6-31++G(d,p)"
4,O=c1[nH]c(=O)c2nc3c(Cl)cccc3nc2[nH]1,O=C1NC(=O)C2=C(N1)NC1=CC=CC(Cl)=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,7,Cl,0.212154619,Alloxazine,Alloxazine,-866.8510769,-76.15866615,-3080.921856,0.108875,-1213.526154,-1213.417279,-0.30792,-0.08686,2,0,1,M062X,"6-31++G(d,p)"
5,O=c1[nH]c(=O)c2nc3cc(Cl)ccc3nc2[nH]1,O=C1NC(=O)C2=C(N1)NC1=CC=C(Cl)C=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,8,Cl,0.203307622,Alloxazine,Alloxazine,-865.1438717,-74.15273164,-3071.950522,0.108782,-1213.528245,-1213.419463,-0.30681,-0.08734,2,0,1,M062X,"6-31++G(d,p)"
6,O=c1[nH]c(=O)c2nc3ccc(Cl)cc3nc2[nH]1,O=C1NC(=O)C2=C(N1)NC1=CC(Cl)=CC=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,9,Cl,0.193420737,Alloxazine,Alloxazine,-863.2359997,-73.42229128,-3069.275138,0.108853,-1213.528771,-1213.419918,-0.31612,-0.0865,2,0,1,M062X,"6-31++G(d,p)"
7,O=c1[nH]c(=O)c2nc3cccc(Cl)c3nc2[nH]1,O=C1NC(=O)C2=C(N1)NC1=C(Cl)C=CC=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,10,Cl,0.200124558,Alloxazine,Alloxazine,-864.529636,-74.53243145,-3083.187662,0.109047,-1213.5263,-1213.417253,-0.3073,-0.08701,2,0,1,M062X,"6-31++G(d,p)"
8,Nn1c(=O)[nH]c2nc3ccccc3nc2c1=O,NN1C(=O)NC2=C(NC3=CC=CC=C3N2)C1=O,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,2,N,0.183344053,Alloxazine,Alloxazine,-861.2915018,-75.25161891,-3070.031281,0.135828,-809.2588111,-809.1229831,-0.30489,-0.07943,2,0,1,M062X,"6-31++G(d,p)"
9,Nn1c(=O)[nH]c(=O)c2nc3ccccc3nc21,NN1C(=O)NC(=O)C2=C1NC1=CC=CC=C1N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,14,N,0.275526736,Alloxazine,Alloxazine,-879.0799942,-73.76193122,-3101.248476,0.135837,-809.2565105,-809.1206735,-0.29185,-0.07874,2,0,1,M062X,"6-31++G(d,p)"
10,Nc1cccc2nc3[nH]c(=O)[nH]c(=O)c3nc12,NC1=CC=CC2=C1NC1=C(NC(=O)NC1=O)N2,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,7,N,0.094905125,Alloxazine,Alloxazine,-844.225442,-79.80050508,-3049.883194,0.13577,-809.3123635,-809.1765935,-0.26737,-0.07361,2,0,1,M062X,"6-31++G(d,p)"
11,Nc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1,NC1=CC=C2NC3=C(NC2=C1)C(=O)NC(=O)N3,O=C1NC(C2=NC3=CC=CC=C3N=C2N1)=O,8,N,0.12726675,Alloxazine,Alloxazine,-850.4702647,-94.87089083,-3062.288682,0.135572,-809.3118105,-809.1762385,-0.2718,-0.07292,2,0,1,M062X,"6-31++G(d,p)"
