structure_id,oxidised_smiles,class,Redox_Potential(V),Ref DOI
1,c1cc(N(C)C)cc(c12)n(C)c3c(n2)c(=O)[nH]c(n3)=O,Alloxazine,0.055,https://doi.org/10.1038/s41598-021-83605-2
2,COc(c1)c(OC)cc(c12)nc3c(n2)c(=O)[nH]c(=O)[nH]3,Alloxazine,0.078,https://doi.org/10.1038/s41598-021-83605-2
3,c1cc(O)cc(c12)nc3c(n2)c(=O)[nH]c(=O)[nH]3,Alloxazine,0.098,https://doi.org/10.1038/s41598-021-83605-2
4,c1c(C)c(C)cc(c12)nc3c(n2)c(=O)[nH]c(=O)[nH]3,Alloxazine,0.128,https://doi.org/10.1038/s41598-021-83605-2
5,c1c(C)ccc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.179,https://doi.org/10.1038/s41598-021-83605-2
6,c1cc(C)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.196,https://doi.org/10.1038/s41598-021-83605-2
7,O=C(O)c(c1)ccc(c12)nc3c(n2)c(=O)[nH]c(=O)[nH]3,Alloxazine,0.208,https://doi.org/10.1038/s41598-021-83605-2
8,c1cccc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.228,https://doi.org/10.1038/s41598-021-83605-2
9,c1c(C)c(Cl)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.233,https://doi.org/10.1038/s41598-021-83605-2
10,c1c(F)ccc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.236,https://doi.org/10.1038/s41598-021-83605-2
11,c1c(C)c(F)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.237,https://doi.org/10.1038/s41598-021-83605-2
12,COc(c1)ccc(c12)n(C)c3c(n2)c(=O)[nH]c(n3)=O,Alloxazine,0.239,https://doi.org/10.1038/s41598-021-83605-2
13,c1c(Cl)c(C)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.245,https://doi.org/10.1038/s41598-021-83605-2
14,c1c(Cl)ccc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.25,https://doi.org/10.1038/s41598-021-83605-2
15,c1cc(Cl)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.264,https://doi.org/10.1038/s41598-021-83605-2
16,c1cc(F)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.269,https://doi.org/10.1038/s41598-021-83605-2
17,c1c(Cl)c(F)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.291,https://doi.org/10.1038/s41598-021-83605-2
18,c1c(Cl)c(Cl)cc(c12)nc3c(n2C)nc(=O)[nH]c3=O,Alloxazine,0.297,https://doi.org/10.1038/s41598-021-83605-2
19,N#Cc(c1)ccc(c12)n(C)c3c(n2)c(=O)[nH]c(n3)=O,Alloxazine,0.314,https://doi.org/10.1038/s41598-021-83605-2
20,c1cc(C#N)cc(c12)n(C)c3c(n2)c(=O)[nH]c(n3)=O,Alloxazine,0.352,https://doi.org/10.1038/s41598-021-83605-2
21,O=C(CNC1=CC2=NC3=C(NCC(O)=O)C=CC=C3N=C2C=C1)O,Phenazine,0.14,10.1002/anie.202014610
22,O=C(CCNC1=CC=CC2=NC3=C(NCCC(O)=O)C=CC=C3N=C21)O,Phenazine,0.15,10.1002/anie.202014610
23,CC(C(O)=O)NC1=CC=C2C(N=C(C=CC(NC(C)C(O)=O)=C3)C3=N2)=C1,Phenazine,0.17,10.1002/anie.202014610
24,O=C(CCCNC1=CC=CC2=NC3=C(NCCCC(O)=O)C=CC=C3N=C21)O,Phenazine,0.18,10.1002/anie.202014610
25,O=C(CCCNC1=CC2=NC3=CC=C(NCCCC(O)=O)C=C3N=C2C=C1)O,Phenazine,0.18,10.1002/anie.202014610
26,O=C(CCNC1=CC2=NC3=CC=C(NCCC(O)=O)C=C3N=C2C=C1)O,Phenazine,0.19,10.1002/anie.202014610
27,O=C(CNC1=CC2=NC3=CC=C(NCC(O)=O)C=C3N=C2C=C1)O,Phenazine,0.19,10.1002/anie.202014610
28,O=C(CNC1=C(N=C(C=CC=C2NCC(O)=O)C2=N3)C3=CC=C1)O,Phenazine,0.19,10.1002/anie.202014610
29,CC(C(O)=O)NC1=CC=CC2=NC3=C(NC(C)C(O)=O)C=CC=C3N=C21,Phenazine,0.2,10.1002/anie.202014610
30,OC1=C(O)C=C2N=C3C=C(OC)C(OC)=CC3=NC2=C1,Phenazine,-0.132,10.1002/cssc.202201984
31,OC1=C(O)C=C2N=C3C=C(O)C(O)=CC3=NC2=C1,Phenazine,-0.082,10.1002/cssc.202201984
32,C1=CC2=NC3=CC(=C(C=C3N=C2C=C1C(=O)O)O)O,Phenazine,-0.062,10.1002/cssc.202201984
33,C1=CC2=NC3=CC(=C(C=C3N=C2C=C1S(=O)(=O)O)O)O,Phenazine,-0.032,10.1002/cssc.202201984
34,O=C(C(C1=O)=O)C2=NC3=CC=CC=C3N=C2C1=O,Phenazine,0.008,10.1002/cssc.202201984
35,C12=NC3=CC=CC=C3N=C1C=CC=C2,Phenazine,0.468,10.1002/cssc.202201984
